     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
  53936471,      1005,   3405822, 11235.0,internal_correlated,337c23d97678bbeaef38f696e0031ebf3bd2e27cb70d66f7063ba0c5a610300e,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0001,""post_d"":5,""post_q"":49,""post_r"":2,""q"":449,""r"":15}"
  51956164,      1000,   6379976, 10435.3,internal_correlated,83bd3cda92815d378b45bb67bcd42c05dde6d2e5c539d0791899c9a4d003a0cb,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0001,""post_d"":7,""post_q"":97,""post_r"":2,""q"":449,""r"":15}"
  26035235,      1016,   3181744,  4343.0,internal_correlated,2eda7cc9c4c4c40e7222f2969ea7ef069a2d38ef7ffed564c4c150839417e708,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0002,""post_d"":5,""post_q"":49,""post_r"":2,""q"":449,""r"":15}"
  28955612,      1006,   6674503,  4783.6,internal_correlated,9a402eeb62add7911b90a3176c55749ed6e63e92d1a04f63b82a887ac5b4bce8,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0002,""post_d"":7,""post_q"":97,""post_r"":2,""q"":449,""r"":15}"
  16350023,      1004,   2902698,  2837.7,internal_correlated,46ef37cad45cc1e05da4bfb313b0c2466c5888afdc2ec4c1258b3a66ddcb891a,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0003,""post_d"":5,""post_q"":49,""post_r"":2,""q"":449,""r"":15}"
  21084041,      1011,   6848845,  3152.8,internal_correlated,df4fa1af27356ce8eb481b4f6b44d59346ed69cda777e0892a501bd4c3933ed5,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0003,""post_d"":7,""post_q"":97,""post_r"":2,""q"":449,""r"":15}"
   9870204,      1014,   2741603,  1569.3,internal_correlated,c8cdd354d8e002cad96f09202715bbb356e3ef4184b48239f3e300404045ecd9,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0005,""post_d"":5,""post_q"":49,""post_r"":2,""q"":449,""r"":15}"
  15275741,      1001,   7336679,  1843.1,internal_correlated,1c6b90e7ebb29407385af0851571a3b47acb95e689e5065fc47cff2b808dd252,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0005,""post_d"":7,""post_q"":97,""post_r"":2,""q"":449,""r"":15}"
   7022678,      1011,   2571849,  1047.5,internal_correlated,19dd780c8a3f29753985a8df3561064e8fbfeb8a465af3552adb40e6a9d3142b,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0007,""post_d"":5,""post_q"":49,""post_r"":2,""q"":449,""r"":15}"
  13353495,      1015,   8009857,  2036.6,internal_correlated,dc38fcdd3ad67a79c97ff9f34769c03c242345830f9f32b663375519709f468b,"{""b"":""hook_inject_X"",""d"":15,""gates"":""cz"",""noise"":""SI1000"",""p"":0.0007,""post_d"":7,""post_q"":97,""post_r"":2,""q"":449,""r"":15}"
